City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,katsuura,75,JP,1563512783,88,33.93,134.5,77.0,9.17
1,byron bay,0,AU,1563513198,56,-28.65,153.62,71.6,13.87
2,upernavik,100,GL,1563512950,95,72.79,-56.15,45.47,13.35
3,hilo,90,US,1563512953,88,19.71,-155.08,75.2,13.98
4,totskoye,11,RU,1563513198,63,52.53,52.75,77.33,8.1
5,san patricio,97,PY,1563513030,96,-26.98,-56.83,58.25,1.63
6,antofagasta,90,CL,1563512992,76,-23.65,-70.4,55.4,9.17
7,longyearbyen,75,NO,1563512967,70,78.22,15.63,44.6,14.99
8,ushuaia,90,AR,1563512649,95,-54.81,-68.31,35.6,9.17
9,athy,75,IE,1563513199,93,52.99,-6.98,57.99,4.7
10,mehamn,0,NO,1563512998,67,71.03,27.85,59.0,6.93
11,flateby,75,NO,1563513199,93,59.83,11.15,61.0,2.24
12,bay-khaak,65,RU,1563513199,41,51.16,94.47,77.87,7.61
13,hithadhoo,90,MV,1563512711,80,-0.6,73.08,81.47,14.79
14,nouadhibou,0,MR,1563513114,82,20.93,-17.03,68.0,19.46
15,lorengau,13,PG,1563512949,75,-2.02,147.27,83.99,11.86
16,myitkyina,78,MM,1563513200,84,25.38,97.4,83.45,2.82
17,east london,0,ZA,1563512956,42,-33.02,27.91,66.2,10.29
18,sao filipe,89,CV,1563512841,85,14.9,-24.5,74.63,11.45
19,vila franca do campo,75,PT,1563513068,94,37.72,-25.43,69.8,10.29
20,mackay,75,CA,1563512973,71,53.65,-115.58,55.4,13.87
21,iqaluit,90,CA,1563513002,81,63.75,-68.52,46.4,3.36
22,hermanus,69,ZA,1563512691,95,-34.42,19.24,52.0,11.99
23,lebu,75,ET,1563512672,93,8.96,38.73,53.6,1.12
24,rikitea,0,PF,1563512944,70,-23.12,-134.97,68.51,24.2
25,zhaotong,100,CN,1563513201,79,27.34,103.71,71.03,4.25
26,tasiilaq,19,GL,1563512944,93,65.61,-37.64,41.0,3.36
27,punta arenas,40,CL,1563512953,86,-53.16,-70.91,33.8,9.17
28,cidreira,14,BR,1563512956,96,-30.17,-50.22,57.17,5.66
29,karratha,83,AU,1563512710,13,-20.74,116.85,84.89,11.39
30,jamestown,0,AU,1563512753,43,-33.21,138.6,60.05,8.37
31,saldanha,0,PT,1563512974,66,41.42,-6.55,65.63,3.8
32,pangkalanbuun,86,ID,1563513201,49,-2.68,111.62,91.91,3.85
33,itarema,42,BR,1563513202,95,-2.92,-39.92,70.49,4.47
34,yandyki,63,RU,1563513202,30,45.77,47.13,86.69,10.98
35,conceicao do araguaia,20,BR,1563513202,56,-8.26,-49.26,70.13,1.01
36,tuktoyaktuk,5,CA,1563512962,82,69.44,-133.03,57.2,9.17
37,yellowknife,20,CA,1563512971,45,62.45,-114.38,64.4,10.29
38,kapaa,20,US,1563512682,69,22.08,-159.32,86.0,14.99
39,cape town,40,ZA,1563512902,87,-33.93,18.42,55.0,6.93
40,hobart,20,AU,1563512841,44,-42.88,147.33,57.99,18.34
41,hami,22,CN,1563512979,13,42.84,93.51,93.17,7.09
42,hambantota,75,LK,1563512950,70,6.12,81.12,86.0,20.8
43,verkh-usugli,81,RU,1563513203,43,52.7,115.17,80.21,2.91
44,natal,20,BR,1563513034,78,-5.81,-35.21,73.4,4.7
45,powell river,75,CA,1563513037,93,49.84,-124.52,57.99,3.36
46,atherton,0,AU,1563513203,44,-17.27,145.48,75.2,17.22
47,talnakh,0,RU,1563512968,35,69.49,88.39,73.4,20.13
48,tuatapere,98,NZ,1563512947,95,-46.13,167.69,48.0,3.0
49,inhambane,20,MZ,1563513203,100,-23.87,35.38,60.8,10.31
50,albany,90,US,1563512723,78,42.65,-73.75,72.0,4.7
51,bredasdorp,52,ZA,1563512970,76,-34.53,20.04,53.6,18.34
52,severo-kurilsk,83,RU,1563512948,93,50.68,156.12,49.97,4.97
53,santa luzia,0,BR,1563513070,71,-19.77,-43.85,55.4,4.7
54,alofi,56,NU,1563512968,88,-19.06,-169.92,75.2,9.17
55,san cristobal,36,HN,1563512962,90,14.68,-86.92,64.01,4.43
56,repcelak,0,HU,1563513204,87,47.42,17.02,60.8,2.24
57,chernyshevskiy,47,RU,1563513129,37,63.01,112.47,62.57,11.81
58,zhuhai,75,CN,1563513204,88,40.71,112.04,69.8,6.71
59,port blair,40,IN,1563513205,74,11.67,92.75,87.8,9.17
60,mataura,99,NZ,1563512945,95,-46.19,168.86,48.0,3.0
61,iwanai,93,JP,1563513205,85,42.97,140.51,73.01,1.07
62,butaritari,26,KI,1563512702,66,3.07,172.79,84.53,4.72
63,havre-saint-pierre,75,CA,1563513017,93,50.23,-63.6,51.8,4.52
64,tahoua,0,NE,1563513205,65,14.89,5.26,80.6,9.17
65,altar,14,MX,1563513205,29,30.72,-111.84,91.0,1.99
66,alta floresta,0,BR,1563513015,53,-9.87,-56.08,68.51,1.77
67,esperance,0,AU,1563512672,30,-33.86,121.89,69.8,24.16
68,puerto leguizamo,3,CO,1563513206,98,-0.19,-74.78,69.23,1.88
69,zabaykalsk,65,CN,1563513055,34,49.64,117.33,89.21,9.62
70,itoman,75,JP,1563513206,83,26.12,127.67,86.0,20.8
71,ostersund,5,SE,1563513206,82,63.18,14.64,55.4,10.29
72,dikson,68,RU,1563512977,83,73.51,80.55,42.41,4.25
73,saint george,0,GR,1563512993,88,39.45,22.34,75.99,2.8
74,port alfred,19,ZA,1563512957,85,-33.59,26.89,64.0,7.0
75,mosquera,75,CO,1563512986,76,4.71,-74.23,55.4,3.36
76,high level,90,CA,1563512990,87,58.52,-117.13,59.0,13.87
77,haines junction,91,CA,1563512955,89,60.75,-137.51,53.21,4.81
78,kodiak,1,US,1563512747,33,39.95,-94.76,87.8,16.11
79,dhidhdhoo,100,MV,1563513207,74,6.88,73.1,83.99,24.56
80,rio claro,69,BR,1563513207,85,-22.41,-47.56,52.67,3.91
81,carnarvon,100,ZA,1563512944,76,-30.97,22.13,50.15,20.54
82,san carlos de bariloche,40,AR,1563513208,86,-41.13,-71.31,37.4,28.86
83,hualmay,96,PE,1563513047,86,-11.1,-77.61,60.95,13.85
84,qaanaaq,95,GL,1563512951,83,77.48,-69.36,41.15,2.71
85,seoul,75,KR,1563513075,44,37.57,126.98,93.2,6.93
86,strathaven,56,GB,1563513208,87,55.68,-4.07,57.99,8.05
87,colomi,40,BO,1563513208,46,-17.34,-65.87,53.6,6.93
88,kuching,75,MY,1563513208,62,1.56,110.34,89.6,3.36
89,villamontes,56,BO,1563513209,61,-21.26,-63.47,67.43,8.03
90,villablino,0,ES,1563513209,87,42.94,-6.32,57.99,1.12
91,barrow,0,AR,1563512726,56,-38.31,-60.23,40.07,8.43
92,rocha,100,UY,1563512942,95,-34.48,-54.34,53.21,2.13
93,mar del plata,67,AR,1563512771,65,-46.43,-67.52,40.61,18.28
94,camacha,40,PT,1563513111,73,33.08,-16.33,69.8,16.11
95,nishihara,75,JP,1563513094,70,35.74,139.53,89.01,14.99
96,hutchinson,1,US,1563513209,62,38.06,-97.93,87.01,18.34
97,pevek,21,RU,1563512701,91,69.7,170.27,33.41,3.0
98,la ronge,75,CA,1563513050,82,55.1,-105.3,62.6,5.82
99,lagoa,0,PT,1563512953,68,37.14,-8.45,71.6,4.7
100,virginia beach,75,US,1563513075,78,36.85,-75.98,82.99,5.82
101,leningradskiy,37,RU,1563513026,85,69.38,178.42,33.95,2.62
102,nanortalik,21,GL,1563512963,90,60.14,-45.24,41.33,2.06
103,shieli,0,KZ,1563513097,14,44.18,66.74,101.27,17.96
104,saint-philippe,1,CA,1563512971,73,45.36,-73.48,77.0,6.93
105,airai,12,TL,1563512957,56,-8.93,125.41,82.37,4.76
106,bluff,0,AU,1563512951,34,-23.58,149.07,66.53,10.36
107,new norfolk,20,AU,1563512978,44,-42.78,147.06,57.99,18.34
108,khatanga,55,RU,1563512963,31,71.98,102.47,70.31,9.28
109,port elizabeth,1,US,1563512960,100,39.31,-74.98,79.0,4.7
110,brae,20,GB,1563513036,93,60.4,-1.35,55.4,9.17
111,altagracia de orituco,100,VE,1563513211,96,9.86,-66.38,66.89,1.21
112,buala,92,SB,1563513211,80,-8.15,159.59,81.47,9.46
113,hensies,20,BE,1563513211,82,50.43,3.68,62.01,8.05
114,sitka,39,US,1563512963,61,37.17,-99.65,84.0,10.0
115,chokurdakh,100,RU,1563512678,74,70.62,147.9,42.41,10.42
116,ahipara,100,NZ,1563512740,71,-35.17,173.16,58.79,18.01
117,jatai,71,IN,1563513212,49,28.97,76.18,93.89,7.49
118,caravelas,21,BR,1563512954,75,-17.73,-39.27,69.77,9.15
119,mayo,90,CA,1563513085,36,63.59,-135.9,77.0,3.36
120,norman wells,20,CA,1563512677,46,65.28,-126.83,73.4,6.93
121,iztapa,100,GT,1563513212,91,13.93,-90.71,75.71,5.53
122,iwaki,75,JP,1563513212,78,37.05,140.89,78.8,16.11
123,burnie,37,AU,1563512906,50,-41.05,145.91,55.99,17.0
124,nikki,100,BJ,1563513213,94,9.94,3.21,71.39,6.44
125,kruisfontein,66,ZA,1563513022,84,-34.0,24.73,52.67,33.73
126,kaeo,100,NZ,1563512979,88,-35.1,173.78,55.0,3.0
127,fethiye,0,TR,1563513213,83,36.62,29.12,75.2,1.12
128,touros,20,BR,1563513050,94,-5.2,-35.46,69.8,5.82
